antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.09244866235784996,0.05951893970383703,0.01321279554937413,0.14292035398230088,2.4012584009974756,0.0077103491887968705,1.0973088261586619,0.6429957921194829
frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.05951893970383703,0.09244866235784996,0.01321279554937413,0.2219931271477663,2.4012584009974756,0.0077103491887968705,1.166508123912834,0.6204821297013112
frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.05951893970383703,0.08136300417246176,0.011044751697619242,0.18556701030927833,2.2807295796986513,0.0062021119581554505,1.1279466910793823,0.5970814666608674
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.08136300417246176,0.05951893970383703,0.011044751697619242,0.13574660633484162,2.2807295796986518,0.0062021119581554505,1.088200598562576,0.6112793338380016
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.031784340996482044,0.09244866235784996,0.01043115438108484,0.3281853281853282,3.5499197047869613,0.007492734572034304,1.3508953818926257,0.7418837745077329
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.09244866235784996,0.031784340996482044,0.01043115438108484,0.11283185840707964,3.549919704786961,0.007492734572034304,1.0913553064079553,0.7914742206266803
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.031784340996482044,0.02573018080667594,0.012149226867381166,0.3822393822393822,14.855681936763016,0.01133141002672064,1.5770992698191932,0.9633036606292763
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.02573018080667594,0.031784340996482044,0.012149226867381166,0.4721780604133545,14.855681936763014,0.01133141002672064,1.8343603901000385,0.9573176446838116
"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.017303444326270147,0.01783522866726663,0.012803730671684528,0.7399527186761229,41.48826642375344,0.012495119785394183,3.7768699843067832,0.9930805129642134
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.01783522866726663,0.017303444326270147,0.012803730671684528,0.7178899082568807,41.48826642375344,0.012495119785394183,3.483379660762164,0.9936182075359973
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'JAM MAKING SET PRINTED'}),0.04634705064223186,0.0475333387875317,0.019307862226949194,0.4165931156222418,8.76423003829718,0.0171048321669691,1.6325941409284817,0.9289541297610193
frozenset({'JAM MAKING SET PRINTED'}),frozenset({'JAM MAKING SET WITH JARS'}),0.0475333387875317,0.04634705064223186,0.019307862226949194,0.4061962134251291,8.764230038297182,0.0171048321669691,1.60600685094743,0.9301111332725753
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04634705064223186,0.08557637241266465,0.011740161989691566,0.2533097969991174,2.9600436412239115,0.007773949523703303,1.2246358984118806,0.6943481310468012
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JAM MAKING SET WITH JARS'}),0.08557637241266465,0.04634705064223186,0.011740161989691566,0.13718929254302104,2.960043641223912,0.007773949523703303,1.105286410003574,0.7241360820924253
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.04634705064223186,0.09244866235784996,0.010962938722081322,0.23654015887025595,2.558610939708972,0.006678215885975456,1.1887348734665386,0.6387679412741978
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'JAM MAKING SET WITH JARS'}),0.09244866235784996,0.04634705064223186,0.010962938722081322,0.11858407079646018,2.5586109397089722,0.006678215885975456,1.0819556553958614,0.6712159476663379
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.04634705064223186,0.05399656385502741,0.010840219258774441,0.23389232127096202,4.3316149134772255,0.00833763777927898,1.2348178492537487,0.8065189962034301
frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),frozenset({'JAM MAKING SET WITH JARS'}),0.05399656385502741,0.04634705064223186,0.010840219258774441,0.20075757575757575,4.3316149134772255,0.00833763777927898,1.1931961072533213,0.8130406191511963
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.04634705064223186,0.08136300417246176,0.011740161989691566,0.2533097969991174,3.113328957989152,0.00796922671490636,1.2302786244356982,0.7117897612419145
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'JAM MAKING SET WITH JARS'}),0.08136300417246176,0.04634705064223186,0.011740161989691566,0.14429361488185016,3.1133289579891517,0.00796922671490636,1.1144628180215046,0.7389212585756225
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.04634705064223186,0.056655485560009815,0.01554446535220486,0.3353927625772286,5.9198638801176395,0.012918650693794848,1.4194015071188697,0.8714671281214231
frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),frozenset({'JAM MAKING SET WITH JARS'}),0.056655485560009815,0.04634705064223186,0.01554446535220486,0.2743682310469314,5.9198638801176395,0.012918650693794848,1.3142381441398099,0.8809901200249224
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.042992718645177126,0.08136300417246176,0.011453816575308844,0.2664129400570885,3.2743744256589165,0.007955799828795823,1.2522535442473965,0.7258023692486185
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.08136300417246176,0.042992718645177126,0.011453816575308844,0.14077425842131724,3.2743744256589165,0.007955799828795823,1.113801920781008,0.7561182004974586
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.042992718645177126,0.04008835801358095,0.0261801521721345,0.6089438629876308,15.190042525097574,0.024456644675109482,2.4546645638144193,0.9761340564223125
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04008835801358095,0.042992718645177126,0.0261801521721345,0.6530612244897959,15.190042525097573,0.024456644675109482,2.7584327521403713,0.9731806123753515
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.08136300417246176,0.04008835801358095,0.01043115438108484,0.1282051282051282,3.1980638409209834,0.007169445140758713,1.1010751187491277,0.7481854210268514
